ID,BARANGAY,PSGC
932,Batong Buhay,PH175109001
933,Batong Buhay,PH175109001
965,Batong Buhay,PH175109001
966,Batong Buhay,PH175109001
967,Batong Buhay,PH175109001
968,Batong Buhay,PH175109001
1000,Batong Buhay,PH175109001
1001,Batong Buhay,PH175109001
1002,Batong Buhay,PH175109001
1003,Batong Buhay,PH175109001
1004,Batong Buhay,PH175109001
1034,Batong Buhay,PH175109001
1035,Batong Buhay,PH175109001
1036,Batong Buhay,PH175109001
1037,Batong Buhay,PH175109001
1038,Batong Buhay,PH175109001
1070,Batong Buhay,PH175109001
1071,Batong Buhay,PH175109001
1072,Batong Buhay,PH175109001
1073,Batong Buhay,PH175109001
1074,Batong Buhay,PH175109001
1104,Batong Buhay,PH175109001
1105,Batong Buhay,PH175109001
1106,Batong Buhay,PH175109001
1107,Batong Buhay,PH175109001
