,HCFAI,Accessibility,
658,57.55364293,Cluster 0,1
659,50.30911238,Cluster 0,1
660,48.1265846,Cluster 0,1
661,33.6740519,Cluster 0,1
662,36.66908279,Cluster 0,1
663,24.11327433,Cluster 0,1
664,27.68849828,Cluster 0,1
665,44.35004893,Cluster 0,1
666,66.20194474,Cluster 0,1
667,40.35813441,Cluster 0,1
668,61.63162922,Cluster 0,1
669,308.5689186,Cluster 0,1
670,620.4683648,Cluster 0,1
671,552.1530491,Cluster 0,1
672,337.1631565,Cluster 0,1
673,87.22461733,Cluster 0,1
674,192.4516319,Cluster 0,1
675,222.1764808,Cluster 0,1
676,233.2383146,Cluster 0,1
677,210.1165668,Cluster 0,1
678,288.7552736,Cluster 0,1
679,327.9974643,Cluster 0,1
680,214.0788121,Cluster 0,1
681,99.1672751,Cluster 0,1
682,60.81796889,Cluster 0,1
683,55.06026893,Cluster 0,1
684,44.44488386,Cluster 0,1
685,36.61071963,Cluster 0,1
686,44.95000716,Cluster 0,1
687,52.39271834,Cluster 0,1
688,60.85716298,Cluster 0,1
689,38.87865056,Cluster 0,1
690,31.64514768,Cluster 0,1
691,26.23968363,Cluster 0,1
692,33.0599516,Cluster 0,1
693,45.37968227,Cluster 0,1
694,46.93092556,Cluster 0,1
695,34.31438172,Cluster 0,1
696,55.80328187,Cluster 0,1
697,61.86174908,Cluster 0,1
698,577.9339413,Cluster 0,1
699,517.7493154,Cluster 0,1
700,531.3084197,Cluster 0,1
701,213.2866515,Cluster 0,1
702,208.221096,Cluster 0,1
703,202.4829424,Cluster 0,1
704,195.6865545,Cluster 0,1
705,235.3366091,Cluster 0,1
706,230.4940558,Cluster 0,1
707,225.0919032,Cluster 0,1
708,186.6309738,Cluster 0,1
709,140.537168,Cluster 0,1
710,105.5672671,Cluster 0,1
711,59.50214923,Cluster 0,1
712,57.83967208,Cluster 0,1
713,46.79416846,Cluster 0,1
714,41.56512503,Cluster 0,1
715,69.99515248,Cluster 0,1
716,50.70093836,Cluster 0,1
717,41.15566128,Cluster 0,1
718,36.30884382,Cluster 0,1
719,28.933817,Cluster 0,1
720,39.43076301,Cluster 0,1
721,32.75307144,Cluster 0,1
722,30.55046583,Cluster 0,1
723,24.14947619,Cluster 0,1
724,26.80234261,Cluster 0,1
725,48.94398439,Cluster 0,1
726,248.9454271,Cluster 0,1
727,539.0780472,Cluster 0,1
728,525.5100334,Cluster 0,1
729,480.6375543,Cluster 0,1
730,214.684013,Cluster 0,1
731,210.5616532,Cluster 0,1
732,208.8890524,Cluster 0,1
733,218.0450125,Cluster 0,1
734,237.2597502,Cluster 0,1
735,206.4795518,Cluster 0,1
736,170.2472568,Cluster 0,1
737,139.6133861,Cluster 0,1
738,547.7484839,Cluster 0,1
739,92.99288454,Cluster 0,1
740,64.84138267,Cluster 0,1
741,46.59348802,Cluster 0,1
742,45.0510821,Cluster 0,1
743,76.14456891,Cluster 0,1
744,61.88553339,Cluster 0,1
745,51.69351086,Cluster 0,1
746,43.49236087,Cluster 0,1
747,33.26035907,Cluster 0,1
748,37.84469009,Cluster 0,1
749,39.29556029,Cluster 0,1
750,29.19954474,Cluster 0,1
751,29.03762391,Cluster 0,1
752,22.09645015,Cluster 0,1
753,23.00380453,Cluster 0,1
754,43.90557337,Cluster 0,1
755,399.6379461,Cluster 0,1
756,567.8624334,Cluster 0,1
757,503.4240936,Cluster 0,1
758,440.666119,Cluster 0,1
759,243.3882349,Cluster 0,1
760,264.1540129,Cluster 0,1
761,248.1811859,Cluster 0,1
762,240.8005304,Cluster 0,1
763,254.7634943,Cluster 0,1
764,224.4175153,Cluster 0,1
765,156.2096646,Cluster 0,1
766,296.3443521,Cluster 0,1
767,151.4692671,Cluster 0,1
768,64.96291578,Cluster 0,1
769,63.27595234,Cluster 0,1
770,50.32825813,Cluster 0,1
771,48.43758341,Cluster 0,1
772,63.32788073,Cluster 0,1
773,57.93927919,Cluster 0,1
774,35.62346244,Cluster 0,1
775,38.04533879,Cluster 0,1
776,31.36700282,Cluster 0,1
777,31.98865691,Cluster 0,1
778,28.00129111,Cluster 0,1
779,25.55689074,Cluster 0,1
780,24.69866011,Cluster 0,1
781,22.72643481,Cluster 0,1
782,104.4742006,Cluster 0,1
783,413.0791507,Cluster 0,1
784,435.021097,Cluster 0,1
785,640.142707,Cluster 0,1
786,328.8528691,Cluster 0,1
787,256.8960148,Cluster 0,1
788,259.9388768,Cluster 0,1
789,269.8733217,Cluster 0,1
790,282.0911182,Cluster 0,1
791,261.3626372,Cluster 0,1
792,158.0108296,Cluster 0,1
793,151.2845566,Cluster 0,1
794,538.5746772,Cluster 0,1
795,409.0342271,Cluster 0,1
796,220.4704568,Cluster 0,1
797,94.06718337,Cluster 0,1
798,63.27803139,Cluster 0,1
799,47.70573004,Cluster 0,1
800,67.95888426,Cluster 0,1
801,67.05521992,Cluster 0,1
802,42.31109953,Cluster 0,1
803,35.82813357,Cluster 0,1
804,30.64124022,Cluster 0,1
805,28.60024652,Cluster 0,1
806,27.64564846,Cluster 0,1
807,29.71708465,Cluster 0,1
808,33.25330336,Cluster 0,1
809,24.15955251,Cluster 0,1
810,27.34064246,Cluster 0,1
811,172.6946741,Cluster 0,1
812,412.2948218,Cluster 0,1
813,440.9838246,Cluster 0,1
814,412.7264342,Cluster 0,1
815,242.5704997,Cluster 0,1
816,224.9348946,Cluster 0,1
817,262.7994981,Cluster 0,1
818,261.6367723,Cluster 0,1
819,260.9515543,Cluster 0,1
820,226.8457842,Cluster 0,1
821,160.0803932,Cluster 0,1
822,,Cluster 0,1
823,599.3341601,Cluster 0,1
824,424.3178403,Cluster 0,1
