fid,id,left,top,right,bottom,geom_wkt,fid_2,LH
231,231,480819.7654,1424691.728,482725.0213,1423041.728,"MultiPolygon (((120.8246804 12.87484839, 120.8290637 12.88230902, 120.83784113 12.88231485, 120.84223473 12.87486005, 120.83785116 12.86739964, 120.82907425 12.86739381, 120.8246804 12.87484839)))",1,1
232,232,480819.7654,1423041.728,482725.0213,1421391.728,"MultiPolygon (((120.8246912 12.85993318, 120.82907425 12.86739381, 120.83785116 12.86739964, 120.84224449 12.85994482, 120.83786117 12.85248441, 120.82908479 12.85247859, 120.8246912 12.85993318)))",1,1
233,233,480819.7654,1421391.728,482725.0213,1419741.728,"MultiPolygon (((120.82470199 12.84501795, 120.82908479 12.85247859, 120.83786117 12.85248441, 120.84225424 12.84502958, 120.83787118 12.83756916, 120.82909531 12.83756335, 120.82470199 12.84501795)))",3,2
234,234,480819.7654,1419741.728,482725.0213,1418091.728,"MultiPolygon (((120.82471276 12.83010271, 120.82909531 12.83756335, 120.83787118 12.83756916, 120.84226398 12.83011432, 120.83788117 12.8226539, 120.82910582 12.82264809, 120.82471276 12.83010271)))",3,2
235,235,480819.7654,1418091.728,482725.0213,1416441.728,"MultiPolygon (((120.82472353 12.81518745, 120.82910582 12.82264809, 120.83788117 12.8226539, 120.84227371 12.81519905, 120.83789115 12.80773862, 120.82911632 12.80773282, 120.82472353 12.81518745)))",1,1
236,236,480819.7654,1416441.728,482725.0213,1414791.728,"MultiPolygon (((120.82473428 12.80027217, 120.82911632 12.80773282, 120.83789115 12.80773862, 120.84228343 12.80028376, 120.83790112 12.79282332, 120.8291268 12.79281753, 120.82473428 12.80027217)))",3,2
237,237,480819.7654,1414791.728,482725.0213,1413141.728,"MultiPolygon (((120.82474501 12.78535687, 120.8291268 12.79281753, 120.83790112 12.79282332, 120.84229313 12.78536845, 120.83791108 12.777908, 120.82913727 12.77790222, 120.82474501 12.78535687)))",3,2
238,238,480819.7654,1413141.728,482725.0213,1411491.728,"MultiPolygon (((120.82475573 12.77044156, 120.82913727 12.77790222, 120.83791108 12.777908, 120.84230283 12.77045312, 120.83792102 12.76299267, 120.82914773 12.7629869, 120.82475573 12.77044156)))",,
239,239,480819.7654,1411491.728,482725.0213,1409841.728,"MultiPolygon (((120.82476644 12.75552623, 120.82914773 12.7629869, 120.83792102 12.76299267, 120.84231251 12.75553778, 120.83793096 12.74807733, 120.82915818 12.74807155, 120.82476644 12.75552623)))",1,1
240,240,480819.7654,1409841.728,482725.0213,1408191.728,"MultiPolygon (((120.82477714 12.74061088, 120.82915818 12.74807155, 120.83793096 12.74807733, 120.84232218 12.74062242, 120.83794088 12.73316196, 120.82916861 12.7331562, 120.82477714 12.74061088)))",3,2
241,241,480819.7654,1408191.728,482725.0213,1406541.728,"MultiPolygon (((120.82478782 12.72569552, 120.82916861 12.7331562, 120.83794088 12.73316196, 120.84233184 12.72570704, 120.83795078 12.71824658, 120.82917903 12.71824082, 120.82478782 12.72569552)))",,
258,258,482248.7073,1437066.728,484153.9632,1435416.728,"MultiPolygon (((120.83777058 12.98672087, 120.84215619 12.99418124, 120.85093753 12.99418668, 120.85533274 12.98673174, 120.85094687 12.97927158, 120.84216605 12.97926615, 120.83777058 12.98672087)))",5,3
259,259,482248.7073,1435416.728,484153.9632,1433766.728,"MultiPolygon (((120.8377807 12.97180578, 120.84216605 12.97926615, 120.85094687 12.97927158, 120.85534181 12.97181663, 120.85095619 12.96435647, 120.8421759 12.96435105, 120.8377807 12.97180578)))",5,3
260,260,482248.7073,1433766.728,484153.9632,1432116.728,"MultiPolygon (((120.8377908 12.95689066, 120.8421759 12.96435105, 120.85095619 12.96435647, 120.85535087 12.95690151, 120.8509655 12.94944134, 120.84218573 12.94943592, 120.8377908 12.95689066)))",,
261,261,482248.7073,1432116.728,484153.9632,1430466.728,"MultiPolygon (((120.83780089 12.94197554, 120.84218573 12.94943592, 120.8509655 12.94944134, 120.85535991 12.94198636, 120.8509748 12.93452619, 120.84219555 12.93452078, 120.83780089 12.94197554)))",,
262,262,482248.7073,1430466.728,484153.9632,1428816.728,"MultiPolygon (((120.83781097 12.92706039, 120.84219555 12.93452078, 120.8509748 12.93452619, 120.85536895 12.92707121, 120.85098409 12.91961103, 120.84220536 12.91960562, 120.83781097 12.92706039)))",,
263,263,482248.7073,1428816.728,484153.9632,1427166.728,"MultiPolygon (((120.83782103 12.91214523, 120.84220536 12.91960562, 120.85098409 12.91961103, 120.85537797 12.91215603, 120.85099337 12.90469585, 120.84221516 12.90469045, 120.83782103 12.91214523)))",,
264,264,482248.7073,1427166.728,484153.9632,1425516.728,"MultiPolygon (((120.83783109 12.89723005, 120.84221516 12.90469045, 120.85099337 12.90469585, 120.85538698 12.89724084, 120.85100264 12.88978065, 120.84222495 12.88977526, 120.83783109 12.89723005)))",,
